state_region,constituency,voters_elig,votes_total,valid_total,turnout,88 Generation Democracy,Akha National Development Party,All Mon Regions Democracy Party,All Nationals' Democracy (A.N.D) Party Kayah State,Arakan National Party,Arakan Patriot Party,Asho Chin National Party,Chin League for Democracy,Chin National Democratic Party,Chin Progressive Party,Confederate Farmers Party (CFP),Danu National Democracy Party,Danu National Organisation Party,Dawei Nationality Party,Democracy and Peace Party,Democracy Party for Myanmar New Society,Democratic Party (Myanmar),Democratic Party for A New Society,Eastern Shan State Development Democratic Party,Federal Union Party (FUP),Guiding Star Party,Individual,Individual 2,Individual 3,Individual 4,Inn National Development Party,Inn National League Party,Ka Man National Development Party,Kachin Democratic Party,Kachin State Democracy Party,Karen National Party,Kayah Unity Democracy Party (K.U.D.P),Kayan National Party,Kayin Democratic Party,Kayin People Party,Khami National Development Party,Khumi (Khami) National Party,Kokang Democracy and Unity Party,La Hu National Development Party,Lhaovo National Unity and Development Party (LNUDP),Lisu National Development Party (L.N.D.P),Modern People Party,Mon National Party,Mro National Democracy Party (M.N.D.P),Mro National Development Party (MNDP),Myanmar Farmer Development Party,Myanmar National Congress Party,National Democratic Force (NDF),National Democratic Party for Development (NDPD),National Development Party,National League for Democracy (NLD),National Prosperity Party,National Unity Congress Party,National Unity Party (NUP),"Negotiation, Stability and Peace Party (N.S.P.P)",New Era Union Party,New National Democracy Party,New Society Party,Pao National Organisation (PNO),Peace for Diversity Party,People's Party of Myanmar Farmers and Workers,People Democracy Party,Phlone-Sqaw Democratic Party,Public Contribute Students Democracy Party,Rakhine State National United Party,Shan-Ni & Northern Shan Ethnics Solidarity Party (S.N.S.P),Shan Nationalities Democratic Party (SNDP),Shan Nationalities League for Democracy (SNLD),Shan State Kokang Democratic Party,Ta-Arng Palaung National Party,Tai-Leng Nationalities Development Party (T.N.D.P),The 88 Generation Students Youth (Union of Myanmar),The Kachin National Congress for Democracy,The Union of Myanmar Federation of National Politic,Union Democratic Party,Union Farmer Force Party,Union Pao National Organisation,Union Solidarity and Development Party (USDP),United Democratic Party (UDP),Unity and Democracy Party of Kachin State (UDPKS),Wa Democratic Party,Wa National Unity Party,Women Party (Mon),Zo National Region Development Party,Zomi Congress for Democracy
Ayeyarwady Region,Myaungmya,209390,162499,154007,77.61%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6241,0,0,0,0,0,0,0,0,0,0,1737,0,1097,0,0,81147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63785,0,0,0,0,0,0,0
Ayeyarwady Region,Einme,139080,103829,93779,74.65%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2933,0,0,0,4741,0,0,0,0,0,0,0,0,0,0,3522,0,0,0,0,39428,0,0,5754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37401,0,0,0,0,0,0,0
Ayeyarwady Region,Wakema,210347,144539,144387,68.71%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7510,0,0,0,0,0,0,1803,0,0,0,5771,0,0,0,0,67020,0,0,8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54018,0,0,0,0,0,0,0
Ayeyarwady Region,Labutta,212052,147300,133848,69.46%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2532,0,0,0,0,0,0,0,0,0,0,3697,0,0,0,0,77165,0,0,4892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45562,0,0,0,0,0,0,0
Ayeyarwady Region,Mawlamyinegyun,214747,156059,143704,72.67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2836,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,4582,67066,0,0,4234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63104,0,0,0,0,0,0,0
Ayeyarwady Region,Maubin,222759,174334,164183,78.26%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,0,0,0,0,0,0,0,2966,82118,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75892,0,0,0,0,0,0,0
Ayeyarwady Region,Pantanaw,179808,142147,133393,79.05%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677,0,0,0,0,0,0,0,0,3388,0,0,0,3263,0,0,0,0,0,0,0,0,0,0,3096,0,0,0,0,62780,0,0,4530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53501,1158,0,0,0,0,0,0
Ayeyarwady Region,Nyaungdon,151805,128266,119812,84.49%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3350,73777,0,0,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38789,0,0,0,0,0,0,0
Ayeyarwady Region,Danubyu,139973,109492,102389,78.22%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,0,0,0,0,62850,0,0,4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32988,0,0,0,0,0,0,0
Ayeyarwady Region,Pyapon,203976,135441,127721,66.40%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,0,0,0,1667,72369,0,0,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47570,0,0,0,0,0,0,0
Ayeyarwady Region,Bogale,216113,146910,135061,67.98%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655,0,0,0,3403,0,4015,0,2393,61763,0,0,5612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56220,0,0,0,0,0,0,0
Ayeyarwady Region,Kyaiklat,147060,104155,95854,70.82%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2648,0,0,0,0,0,0,0,0,0,0,1758,0,887,0,1719,48984,0,0,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34534,0,0,0,0,0,0,0
Ayeyarwady Region,Dedaye,164792,108922,101458,66.10%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3305,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,464,0,0,0,2625,0,0,0,0,61231,0,0,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31515,0,0,0,0,0,0,0
