state_region,constituency,voters_elig,votes_total,valid_total,turnout,88 Generation Democracy,Akha National Development Party,All Mon Regions Democracy Party,All Nationals' Democracy (A.N.D) Party Kayah State,Arakan National Party,Arakan Patriot Party,Asho Chin National Party,Chin League for Democracy,Chin National Democratic Party,Chin Progressive Party,Confederate Farmers Party (CFP),Danu National Democracy Party,Danu National Organisation Party,Dawei Nationality Party,Democracy and Peace Party,Democracy Party for Myanmar New Society,Democratic Party (Myanmar),Democratic Party for A New Society,Eastern Shan State Development Democratic Party,Federal Union Party (FUP),Guiding Star Party,Individual,Individual 2,Individual 3,Individual 4,Inn National Development Party,Inn National League Party,Ka Man National Development Party,Kachin Democratic Party,Kachin State Democracy Party,Karen National Party,Kayah Unity Democracy Party (K.U.D.P),Kayan National Party,Kayin Democratic Party,Kayin People Party,Khami National Development Party,Khumi (Khami) National Party,Kokang Democracy and Unity Party,La Hu National Development Party,Lhaovo National Unity and Development Party (LNUDP),Lisu National Development Party (L.N.D.P),Modern People Party,Mon National Party,Mro National Democracy Party (M.N.D.P),Mro National Development Party (MNDP),Myanmar Farmer Development Party,Myanmar National Congress Party,National Democratic Force (NDF),National Democratic Party for Development (NDPD),National Development Party,National League for Democracy (NLD),National Prosperity Party,National Unity Congress Party,National Unity Party (NUP),"Negotiation, Stability and Peace Party (N.S.P.P)",New Era Union Party,New National Democracy Party,New Society Party,Pao National Organisation (PNO),Peace for Diversity Party,People's Party of Myanmar Farmers and Workers,People Democracy Party,Phlone-Sqaw Democratic Party,Public Contribute Students Democracy Party,Rakhine State National United Party,Shan-Ni & Northern Shan Ethnics Solidarity Party (S.N.S.P),Shan Nationalities Democratic Party (SNDP),Shan Nationalities League for Democracy (SNLD),Shan State Kokang Democratic Party,Ta-Arng Palaung National Party,Tai-Leng Nationalities Development Party (T.N.D.P),The 88 Generation Students Youth (Union of Myanmar),The Kachin National Congress for Democracy,The Union of Myanmar Federation of National Politic,Union Democratic Party,Union Farmer Force Party,Union Pao National Organisation,Union Solidarity and Development Party (USDP),United Democratic Party (UDP),Unity and Democracy Party of Kachin State (UDPKS),Wa Democratic Party,Wa National Unity Party,Women Party (Mon),Zo National Region Development Party,Zomi Congress for Democracy
Kachin State,Nawngmun,4090,3496,3336,85.48%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865,0,0,0,0,0,0,0
Kachin State,Sumprabum,1934,1341,1269,69.34%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,349,0,0,0,0,0,0,0
Kachin State,Khaunglanhpu,7574,6032,5672,79.64%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,0,0,0,0,0,0,0,0,0,1339,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,1899,0,0,0,0,0,0,0
Kayah State,Loikaw,84172,62558,58110,74.32%,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,1840,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,33344,0,0,2247,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,15743,0,0,0,0,0,0,0
Kayah State,Demoso,49247,37809,34313,76.77%,0,0,0,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,19631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,6523,0,0,0,0,0,0,0
Kayah State,Hpruso,17386,13087,11334,75.27%,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,6363,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0
Kayah State,Shadaw,4256,3210,2791,75.42%,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0
Kayah State,Bawlake,6802,5960,5582,87.62%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,133,114,0,0,0,0,0,0,0,0,0,2743,0,0,0,0,0,0,0
Kayah State,Hpasawng,12469,6266,5638,50.25%,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,2471,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0
Kayah State,Mese,3984,3191,2802,80.10%,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,22,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0
Kayin State,Hpa-An,327791,156146,145523,47.64%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6352,0,0,0,0,0,0,0,0,8257,0,0,0,0,2038,0,4184,71281,0,0,3366,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34992,0,0,0,0,0,0,0
Kayin State,Hlaingbwe,186079,75997,68782,40.84%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5597,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,5149,31290,0,0,2060,0,0,0,0,0,0,0,0,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17122,0,0,0,0,0,0,0
Kayin State,Hpapun,17998,11333,10551,62.97%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,3988,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5231,0,0,0,0,0,0,0
Kayin State,Thandaunggyi,53649,38061,33879,70.94%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2982,0,0,0,11004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6646,0,0,0,0,0,0,0
Kayin State,Myawaddy,89101,44601,39723,50.06%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,1820,0,0,0,0,0,0,0,1170,0,0,0,0,774,0,1222,21738,0,0,0,0,0,0,0,0,0,0,0,1471,0,0,0,0,0,0,0,0,0,0,435,0,0,0,10670,0,0,0,0,0,0,0
Kayin State,Kawkareik,163757,67943,61202,41.49%,0,0,3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6070,0,0,0,0,1153,0,3700,21728,0,0,0,0,0,0,0,0,0,0,0,7727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17328,0,0,0,0,0,0,0
Kayin State,Kyainseikgyi,66598,28837,26565,43.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2895,0,0,0,0,624,0,485,11551,0,0,0,0,0,0,0,0,0,0,0,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8903,0,0,0,0,0,0,0
Chin State,Falam,31027,23010,22181,74.16%,0,0,0,0,0,0,0,0,1288,2119,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4709,0,0,0,0,0,0,0
Chin State,Hakha,29211,21140,20269,72.37%,0,0,0,0,0,0,0,1351,5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3153,0,0,0,0,0,0,0
Chin State,Thantlang,27902,23621,22557,84.66%,0,0,0,0,0,0,0,1270,5693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6848,0,0,0,0,0,0,0
Chin State,Tedim,45813,35030,32973,76.46%,0,0,0,0,0,0,0,4026,2058,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10239,0,0,0,0,0,0,14967
Chin State,Tonzang,15916,12332,11916,77.48%,0,0,0,0,0,0,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420,0,0,0,0,0,541,4228
Chin State,Mindat,25885,19909,18833,76.91%,0,0,0,0,0,0,0,1071,3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6192,0,0,0,0,0,0,0
Chin State,Matupi,31762,25496,24457,80.27%,0,0,0,0,0,0,0,6763,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8481,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0
Chin State,Kanpetlet,11484,9663,9184,84.14%,0,0,0,0,0,0,0,750,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435,0,0,0,0,0,0,0
Chin State,Paletwa,55328,47305,44640,85.50%,0,0,0,0,7261,0,0,0,1685,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5694,0,0,0,0,0,0,0,0,0,0,0,0,0,21215,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5360,793,0,0,0,0,0,0
Sagaing Region,Sagaing,221336,168618,161039,76.18%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623,0,0,0,0,113202,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,2569,0,0,0,0,0,43279,0,0,0,0,0,0,0
Sagaing Region,Myinmu,85966,64384,61268,74.89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43724,0,0,3362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14182,0,0,0,0,0,0,0
Sagaing Region,Myaung,81693,65914,62798,80.69%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,0,0,0,0,48665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12796,0,0,0,0,0,0,0
Sagaing Region,Shwebo,208016,144583,136905,69.51%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3749,99758,0,0,1555,0,0,0,2179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28810,0,0,0,0,0,0,0
Sagaing Region,Khin-U,113384,83345,78747,73.51%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626,0,0,0,1697,55489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19935,0,0,0,0,0,0,0
Sagaing Region,Wetlet,175890,115414,109553,65.62%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193,86819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20541,0,0,0,0,0,0,0
Sagaing Region,Kanbalu,202694,145786,138042,71.92%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3555,80345,0,0,3856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48353,1933,0,0,0,0,0,0
Sagaing Region,Kyunhla,66454,50747,48331,76.36%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33828,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10512,237,0,0,0,0,0,0
Sagaing Region,Ye-U,97582,73113,69971,74.92%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0,0,47468,0,0,2284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19265,333,0,0,0,0,0,0
Sagaing Region,Tabayin,115560,84955,80520,73.52%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,435,61472,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17661,0,0,0,0,0,0,0
Sagaing Region,Taze,137955,94555,89757,68.54%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113,0,0,0,0,63758,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22255,623,0,0,0,0,0,0
Sagaing Region,Monywa,259470,200454,196127,77.26%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564,0,0,0,0,167865,0,0,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24246,0,0,0,0,0,0,0
Sagaing Region,Budalin,105915,72644,68851,68.59%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18112,0,0,0,0,0,0,0
Sagaing Region,Ayadaw,126482,96284,91237,76.12%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,0,0,0,67717,0,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19386,0,0,0,0,0,0,0
Sagaing Region,Chaung-U,80825,63754,61413,78.88%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,831,0,890,43535,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15055,0,0,0,0,0,0,0
Sagaing Region,Yinmarbin,111838,79820,74396,71.37%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,55309,0,0,1534,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14910,0,0,0,0,0,0,0
Sagaing Region,Kani,99095,77915,73532,78.63%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15832,0,0,0,0,0,0,0
Sagaing Region,Salingyi,99111,75110,72012,75.78%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,56403,0,0,1318,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12147,0,0,0,0,0,0,0
Sagaing Region,Pale,113977,89609,85712,78.62%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,54749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30328,0,0,0,0,0,0,0
Sagaing Region,Katha,101815,75673,71370,74.32%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43007,0,0,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,21540,857,0,0,0,0,0,0
Sagaing Region,Indaw,80569,63153,59251,78.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39112,0,0,6733,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,12408,0,0,0,0,0,0,0
Sagaing Region,Tigyaing,82732,63807,60156,77.12%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37998,0,0,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,18470,0,0,0,0,0,0,0
Sagaing Region,Banmauk,61851,49969,45357,80.79%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22863,0,0,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,0,0,2759,0,0,0,0,0,0,14460,517,0,0,0,0,0,0
Sagaing Region,Kawlin,104939,84641,80623,80.66%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1791,0,0,61223,0,0,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,15067,0,0,0,0,0,0,0
Sagaing Region,Wuntho,49844,40026,38001,80.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22335,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,12497,693,0,0,0,0,0,0
Sagaing Region,Pinlebu,71884,56517,53915,78.62%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36215,0,0,2935,0,0,0,0,0,0,0,0,0,0,0,0,0,1653,0,0,1532,0,0,0,0,0,0,11580,0,0,0,0,0,0,0
Sagaing Region,Kale,235232,162804,153564,69.21%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,0,0,0,0,103049,0,0,4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35156,0,0,0,0,0,0,7947
Sagaing Region,Kalewa,39594,32764,30896,82.75%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14593,0,0,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13957,0,0,0,0,0,0,0
Sagaing Region,Mingin,77317,65775,63705,85.07%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33021,0,0,0,0,0,0,0
Sagaing Region,Tamu,69762,51586,48572,73.95%,0,0,0,0,0,0,0,0,2391,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24112,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19102,0,0,0,0,0,0,0
Sagaing Region,Mawlaik,36702,28551,26896,77.79%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14406,0,0,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10296,0,0,0,0,0,0,0
Sagaing Region,Paungbyin,73268,56254,52973,76.78%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27568,0,0,2843,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0,0,0,0,0,0,0,21487,0,0,0,0,0,0,0
Sagaing Region,Hkamti,25477,18107,17011,71.07%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6931,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,2948,0,0,0,0,0,0,0
Sagaing Region,Homalin,127338,93783,86372,73.65%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36206,0,0,6643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31704,0,0,0,0,0,0,11819,0,0,0,0,0,0,0
Sagaing Region,Lay Shi,8787,7993,7618,90.96%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2931,0,0,0,0,0,0,0
Sagaing Region,Lahe,28398,24728,22080,87.08%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10516,0,0,0,0,0,0,0
Sagaing Region,Nanyun,25097,20674,19874,82.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6590,0,0,0,0,0,0,0
Tanintharyi Region,Dawei,107933,64203,60763,59.48%,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297,0,990,43574,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13148,0,0,0,0,0,0,0
